sku	qty_remaining
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	2
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	2
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	3
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	1
dry-oil-bundle-the-double-glow-6224002524218-6224002524218	2
6.224E+12	1
6.224E+12	1
6.224E+12	1
argan-repair-plus-set-300ml-6224002524799-6224002524805-6224002524973	1
Bath & Body Set 1-6224002524799-6224002524805-6224002524973-6224003382077-6224002524935-6224002524942-6224002524959	1
6.224E+12	1
6.224E+12	1
6.224E+12	1
